USO,CODIGO,First_DESC,DPA_PARROQ,DPA_DESPAR,DPA_VALOR,DPA_ANIO,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,dpa_parr_1,dpa_desp_1,dpa_valor_,dpa_anio_2,dpa_cant_1,dpa_desc_1,dpa_prov_1,dpa_desp_2,dpa_parr_2,dpa_desp_3,dpa_valo_1,dpa_anio_3,dpa_cant_2,dpa_desc_2,dpa_prov_2,dpa_desp_4,area
Bp-Cm,Bp-Cm,50% BOSQUE PLANTADO CON 50% CULTIVO DE MAIZ,050151,ALAQUES (ALAQUEZ),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,521163
Pr,Pr,100% PARAMO,050151,ALAQUES (ALAQUEZ),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,77875357
Pc/Bp,Pc/Bp,70% PASTO CULTIVADO CON 30% BOSQUE PLANTADO,050151,ALAQUES (ALAQUEZ),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,623000
Cm/Af,Cm/Af,CULTIVO DE MAIZ EN AREAS CON FUERTE PROCESO DE EROSION,050151,ALAQUES (ALAQUEZ),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,27981
Pc,Pc,100% PASTO CULTIVADO,050151,ALAQUES (ALAQUEZ),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,594031
Cd-Cm,Cd-Cm,50% CULTIVO DE CEBADA CON 50% CULTIVO DE MAIZ,050151,ALAQUES (ALAQUEZ),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,3190679
Pr/Va,Pr/Va,70% PARAMO CON 30% VEGETACION ARBUSTIVA,050151,ALAQUES (ALAQUEZ),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,9054648
Cm-Pc,Cm-Pc,50% CULTIVO DE MAIZ CON 50% PASTO CULTIVADO,050151,ALAQUES (ALAQUEZ),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,654781
Wn,Wn,100% CUERPO DE AGUA NATURAL,050151,ALAQUES (ALAQUEZ),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,46452
Cp,Cp,100% CULTIVO DE PAPA,050151,ALAQUES (ALAQUEZ),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,792253
Ci,Ci,100% CULTIVO BAJO INVERNADERO,050151,ALAQUES (ALAQUEZ),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,369458
Cm/Cc,Cm/Cc,70% CULTIVO DE MAIZ CON 30% CULTIVO DE CICLO CORTO,050151,ALAQUES (ALAQUEZ),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,8163880
Cm/Bp,Cm/Bp,70% CULTIVO DE MAIZ CON 30% BOSQUE PLANTADO,050151,ALAQUES (ALAQUEZ),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,7058302
Cm,Cm,100% CULTIVO DE MAIZ,050151,ALAQUES (ALAQUEZ),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,9406438
Cc,Cc,100% CULTIVO DE CICLO CORTO,050151,ALAQUES (ALAQUEZ),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,4837128
Pc/Cw,Pc/Cw,70% PASTO CULTIVADO CON 30% CULTIVO DE BROCOLI,050151,ALAQUES (ALAQUEZ),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,592971
Pn/Va,Pn/Va,70% PASTO NATURAL CON 30% VEGETACION ARBUSTIVA,050151,ALAQUES (ALAQUEZ),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,367648
Cw,Cw,100% CULTIVO DE BROCOLI,050151,ALAQUES (ALAQUEZ),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,62273
Pc/Cp,Pc/Cp,70% PASTO CULTIVADO CON 30% CULTIVO DE PAPA,050151,ALAQUES (ALAQUEZ),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,332319
Cm-Pr,Cm-Pr,50% CULTIVO DE MAIZ CON 50% PARAMO,050151,ALAQUES (ALAQUEZ),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,30695
Ae,Ae,AREA EROSIONADA,050151,ALAQUES (ALAQUEZ),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,180852
Bp-Pc,Bp-Pc,50% BOSQUE PLANTADO CON 50% PASTO CULTIVADO,050151,ALAQUES (ALAQUEZ),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,1468583
Cm/Pc,Cm/Pc,70% CULTIVO DE MAIZ CON 30% PASTO CULTIVADO,050151,ALAQUES (ALAQUEZ),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,12859313
Cm/Va,Cm/Va,70% CULTIVO DE MAIZ CON 30% VEGETACION ARBUSTIVA,050151,ALAQUES (ALAQUEZ),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,1144880
Pc/Ap,Pc/Ap,PASTO CULTIVADO EN AREAS CON PROCESO DE EROSION,050151,ALAQUES (ALAQUEZ),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,590225
Cc-Ce,Cc-Ce,50% CULTIVO DE CICLO CORTO CON 50% CULTIVO DE CEREALES,050151,ALAQUES (ALAQUEZ),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,3381652
Va,Va,100% VEGETACION ARBUSTIVA,050151,ALAQUES (ALAQUEZ),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,2035274
Cc/Ap,Cc/Ap,CULTIVOS DE CICLO CORTO  EN AREAS CON PROCESO DE EROSION,050151,ALAQUES (ALAQUEZ),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,1568348
